Epoch 0/10 | Ep 26/100 | Scen: building_collapse | Cov: 94.8% | Vic: 4/7 | Col: 32 | Steps: 500
Epoch 0/10 | Ep 27/100 | Scen: building_collapse | Cov: 99.1% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 28/100 | Scen: building_collapse | Cov: 99.6% | Vic: 3/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 29/100 | Scen: building_collapse | Cov: 99.5% | Vic: 3/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 30/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 31/100 | Scen: building_collapse | Cov: 92.5% | Vic: 7/7 | Col: 0 | Steps: 443
Epoch 0/10 | Ep 32/100 | Scen: building_collapse | Cov: 99.9% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 33/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 34/100 | Scen: building_collapse | Cov: 99.4% | Vic: 4/7 | Col: 28 | Steps: 500
Epoch 0/10 | Ep 35/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 36/100 | Scen: building_collapse | Cov: 94.9% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 37/100 | Scen: building_collapse | Cov: 93.1% | Vic: 3/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 38/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 39/100 | Scen: building_collapse | Cov: 99.3% | Vic: 6/7 | Col: 8 | Steps: 500
Epoch 0/10 | Ep 40/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 41/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 12 | Steps: 500
Epoch 0/10 | Ep 42/100 | Scen: building_collapse | Cov: 99.0% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 43/100 | Scen: building_collapse | Cov: 93.5% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 44/100 | Scen: building_collapse | Cov: 99.5% | Vic: 7/7 | Col: 0 | Steps: 163
Epoch 0/10 | Ep 45/100 | Scen: building_collapse | Cov: 99.3% | Vic: 4/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 46/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 47/100 | Scen: building_collapse | Cov: 88.9% | Vic: 3/7 | Col: 8 | Steps: 500
Epoch 0/10 | Ep 48/100 | Scen: building_collapse | Cov: 88.5% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 49/100 | Scen: building_collapse | Cov: 97.9% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 50/100 | Scen: building_collapse | Cov: 100.0% | Vic: 3/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 51/100 | Scen: building_collapse | Cov: 98.0% | Vic: 3/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 52/100 | Scen: building_collapse | Cov: 99.4% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 53/100 | Scen: building_collapse | Cov: 95.4% | Vic: 7/7 | Col: 0 | Steps: 163
Epoch 0/10 | Ep 54/100 | Scen: building_collapse | Cov: 95.0% | Vic: 5/7 | Col: 120 | Steps: 500
Epoch 0/10 | Ep 55/100 | Scen: building_collapse | Cov: 98.9% | Vic: 4/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 56/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 57/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 58/100 | Scen: building_collapse | Cov: 87.2% | Vic: 5/7 | Col: 14 | Steps: 500
Epoch 0/10 | Ep 59/100 | Scen: building_collapse | Cov: 94.5% | Vic: 3/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 60/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 61/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 62/100 | Scen: building_collapse | Cov: 94.4% | Vic: 5/7 | Col: 4 | Steps: 500
